😀	γελαστό πρόσωπο
🤾🏼	άτομο που παίζει χάντμπολ: μεσαίος-ανοιχτός τόνος δέρματος
🤾🏽	άτομο που παίζει χάντμπολ: μεσαίος τόνος δέρματος
🤾🏾	άτομο που παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος
🤾🏿	άτομο που παίζει χάντμπολ: σκούρο δέρμα
🤾‍♂️	άνδρας παίζει χάντμπολ
🤾‍♂	άνδρας παίζει χάντμπολ
🤾🏻‍♂️	άνδρας παίζει χάντμπολ: ανοιχτόχρωμος τόνος δέρματος
🤾🏻‍♂	άνδρας παίζει χάντμπολ: ανοιχτόχρωμος τόνος δέρματος
🤾🏼‍♂️	άνδρας που παίζει χάντμπολ: μεσαίος-ανοιχτός τόνος δέρματος
🤾🏼‍♂	άνδρας που παίζει χάντμπολ: μεσαίος-ανοιχτός τόνος δέρματος
🤾🏽‍♂️	άνδρας παίζει χάντμπολ: μεσαίος τόνος δέρματος
🤾🏽‍♂	άνδρας παίζει χάντμπολ: μεσαίος τόνος δέρματος
🤾🏾‍♂️	άνδρας παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος
🤾🏾‍♂	άνδρας παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος
🤾🏿‍♂️	άνδρας παίζει χάντμπολ: σκούρος τόνος δέρματος
🤾🏿‍♂	άνδρας παίζει χάντμπολ: σκούρος τόνος δέρματος
🤾‍♀️	γυναίκα που παίζει χάντμπολ
🤾‍♀	γυναίκα που παίζει χάντμπολ
🤾🏻‍♀️	γυναίκα που παίζει χάντμπολ: ανοιχτόχρωμος τόνος δέρματος
🤾🏻‍♀	γυναίκα που παίζει χάντμπολ: ανοιχτόχρωμος τόνος δέρματος
🤾🏼‍♀️	γυναίκα που παίζει χάντμπολ: μεσαίος-ανοιχτός τόνος δέρματος
🤾🏼‍♀	γυναίκα που παίζει χάντμπολ: μεσαίος-ανοιχτός τόνος δέρματος
🤾🏽‍♀️	γυναίκα που παίζει χάντμπολ: μεσαίος τόνος δέρματος
🤾🏽‍♀	γυναίκα που παίζει χάντμπολ: μεσαίος τόνος δέρματος
🤾🏾‍♀️	γυναίκα που παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος
🤾🏾‍♀	γυναίκα που παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος
🤾🏿‍♀️	γυναίκα που παίζει χάντμπολ: σκούρος τόνος δέρματος
🤾🏿‍♀	γυναίκα που παίζει χάντμπολ: σκούρος τόνος δέρματος
🤹	άτομο που κάνει ζογκλέρ
🤹🏻	άτομο που κάνει ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος
🤹🏼	άτομο που κάνει ζογκλέρ: μεσαίος-ανοιχτός τόνος δέρματος
🤹🏽	άτομο που κάνει ζογκλέρ: μεσαίος τόνος δέρματος
🤹🏾	άτομο που κάνει ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος
🤹🏿	άτομο που κάνει ζογκλέρ: σκουρόχρωμος τόνος δέρματος
🤹‍♂️	άντρας που κάνει ζογκλέρ
🤹‍♂	άντρας που κάνει ζογκλέρ
🤹🏻‍♂️	άντρας που κάνει ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος
🤹🏻‍♂	άντρας που κάνει ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος
🤹🏼‍♂️	άντρας που κάνει ταχυδακτυλουργία: μεσαίος-ανοιχτός τόνος δέρματος
🤹🏼‍♂	άντρας που κάνει ταχυδακτυλουργία: μεσαίος-ανοιχτός τόνος δέρματος
🤹🏽‍♂️	άντρας που κάνει ζογκλέρ: μεσαίος τόνος δέρματος
🤹🏽‍♂	άντρας που κάνει ζογκλέρ: μεσαίος τόνος δέρματος
🤹🏾‍♂️	άντρας που κάνει ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος
🤹🏾‍♂	άντρας που κάνει ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος
🤹🏿‍♂️	άντρας που κάνει ζογκλέρ: σκούρος τόνος δέρματος
🤹🏿‍♂	άντρας που κάνει ζογκλέρ: σκούρος τόνος δέρματος
🤹‍♀️	γυναίκα που ταχυδακτυλουργεί
🤹‍♀	γυναίκα που ταχυδακτυλουργεί
🤹🏻‍♀️	γυναίκα που ταχυδακτυλουργεί: ανοιχτόχρωμος τόνος δέρματος
🤹🏻‍♀	γυναίκα που ταχυδακτυλουργεί: ανοιχτόχρωμος τόνος δέρματος
🤹🏼‍♀️	γυναίκα που κάνει ταχυδακτυλουργία: μεσαίος-ανοιχτός τόνος δέρματος
🤹🏼‍♀	γυναίκα που κάνει ταχυδακτυλουργία: μεσαίος-ανοιχτός τόνος δέρματος
🤹🏽‍♀️	γυναίκα που κάνει ζογκλέρ: μεσαίος τόνος δέρματος
🤹🏽‍♀	γυναίκα που κάνει ζογκλέρ: μεσαίος τόνος δέρματος
🤹🏾‍♀️	γυναίκα που κάνει ταχυδακτυλουργία: μεσαίος-σκούρος τόνος δέρματος
🤹🏾‍♀	γυναίκα που κάνει ταχυδακτυλουργία: μεσαίος-σκούρος τόνος δέρματος
🤹🏿‍♀️	γυναίκα που ταχυδακτυλουργεί: σκούρος τόνος δέρματος
🤹🏿‍♀	γυναίκα που ταχυδακτυλουργεί: σκούρος τόνος δέρματος
👫	άνδρας και γυναίκα κρατώντας τα χέρια
👬	δύο άντρες πιασμένοι χέρι χέρι
👭	δύο γυναίκες που κρατιούνται χέρι-χέρι
💏	φιλί
👩‍❤️‍💋‍👨	φιλί: γυναίκα, άνδρας
👩‍❤‍💋‍👨	φιλί: γυναίκα, άνδρας
👨‍❤️‍💋‍👨	φιλί: άντρας, άντρας
👨‍❤‍💋‍👨	φιλί: άντρας, άντρας
👩‍❤️‍💋‍👩	φιλί: γυναίκα, γυναίκα
👩‍❤‍💋‍👩	φιλί: γυναίκα, γυναίκα
💑	ζευγάρι με καρδιά
👩‍❤️‍👨	ζευγάρι με καρδιά: γυναίκα, άνδρας
👩‍❤‍👨	ζευγάρι με καρδιά: γυναίκα, άνδρας
👨‍❤️‍👨	ζευγάρι με καρδιά: άντρας, άντρας
👨‍❤‍👨	ζευγάρι με καρδιά: άντρας, άντρας
👩‍❤️‍👩	ζευγάρι με καρδιά: γυναίκα, γυναίκα
👩‍❤‍👩	ζευγάρι με καρδιά: γυναίκα, γυναίκα
👪	οικογένεια
👨‍👩‍👦	οικογένεια: άνδρας, γυναίκα, αγόρι
👨‍👩‍👧	οικογένεια: άνδρας, γυναίκα, κορίτσι
👨‍👩‍👧‍👦	οικογένεια: άνδρας, γυναίκα, κορίτσι, αγόρι
👨‍👩‍👦‍👦	οικογένεια: άνδρας, γυναίκα, αγόρι, αγόρι
👨‍👩‍👧‍👧	οικογένεια: άνδρας, γυναίκα, κορίτσι, κορίτσι
👨‍👨‍👦	οικογένεια: άντρας, άντρας, αγόρι
👨‍👨‍👧	οικογένεια: άντρας, άντρας, κορίτσι
👨‍👨‍👧‍👦	οικογένεια: άνδρας, άνδρας, κορίτσι, αγόρι
👨‍👨‍👦‍👦	οικογένεια: άντρας, άντρας, αγόρι, αγόρι
👨‍👨‍👧‍👧	οικογένεια: άνδρας, άνδρας, κορίτσι, κορίτσι
👩‍👩‍👦	οικογένεια: γυναίκα, γυναίκα, αγόρι
👩‍👩‍👧	οικογένεια: γυναίκα, γυναίκα, κορίτσι
👩‍👩‍👧‍👦	οικογένεια: γυναίκα, γυναίκα, κορίτσι, αγόρι
👩‍👩‍👦‍👦	οικογένεια: γυναίκα, γυναίκα, αγόρι, αγόρι
👩‍👩‍👧‍👧	οικογένεια: γυναίκα, γυναίκα, κορίτσι, κορίτσι
👨‍👦	οικογένεια: άντρας, αγόρι
👨‍👦‍👦	οικογένεια: άντρας, αγόρι, αγόρι
👨‍👧	οικογένεια: άντρας, κορίτσι
👨‍👧‍👦	οικογένεια: άνδρας, κορίτσι, αγόρι
👨‍👧‍👧	οικογένεια: άνδρας, κορίτσι, κορίτσι
👩‍👦	οικογένεια: γυναίκα, αγόρι
👩‍👦‍👦	οικογένεια: γυναίκα, αγόρι, αγόρι
👩‍👧	οικογένεια: γυναίκα, κορίτσι
👩‍👧‍👦	οικογένεια: γυναίκα, κορίτσι, αγόρι
👩‍👧‍👧	οικογένεια: γυναίκα, κορίτσι, κορίτσι
🤳	selfie
🤳🏻	selfie: ανοιχτόχρωμος τόνος δέρματος
🤳🏼	selfie: μεσαίος-ανοιχτός τόνος δέρματος
🤳🏽	selfie: μεσαίου τόνου δέρματος
🤳🏾	selfie: μεσαίος-σκούρος τόνος δέρματος
🤳🏿	selfie: σκουρόχρωμος τόνος δέρματος
💪	λυγισμένος δικέφαλος μυς
💪🏻	λυγισμένος δικέφαλος: ανοιχτός τόνος δέρματος
💪🏼	λυγισμένος δικέφαλος: μεσαίος-ανοιχτός τόνος δέρματος
💪🏽	λυγισμένος δικέφαλος μυς: μεσαίος τόνος δέρματος
💪🏾	λυγισμένος δικέφαλος: μεσαίος-σκούρος τόνος δέρματος
💪🏿	λυγισμένος δικέφαλος: σκούρος τόνος δέρματος
🦵	πόδι
🦵🏻	πόδι: ανοιχτόχρωμος τόνος δέρματος
🦵🏼	πόδι: μεσαίος-ανοιχτός τόνος δέρματος
🦵🏽	πόδι: μεσαίος τόνος δέρματος
🦵🏾	πόδι: μεσαίος-σκούρος τόνος δέρματος
🦵🏿	πόδι: σκούρος τόνος δέρματος
🦶	πόδι
🦶🏻	πόδι: ανοιχτόχρωμος τόνος δέρματος
🦶🏼	πόδι: μεσαίος-ανοιχτός τόνος δέρματος
🦶🏽	πόδι: μεσαίος τόνος δέρματος
🦶🏾	πόδι: μεσαίος-σκούρος τόνος δέρματος
🦶🏿	πόδι: σκούρος τόνος δέρματος
👈	backhand ευρετήριο που δείχνει προς τα αριστερά
👈🏻	δείκτης backhand δείχνει προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος
👈🏼	δείκτης backhand δείχνει προς τα αριστερά: μεσαίος-ανοιχτός τόνος δέρματος
👈🏽	δείκτης backhand δείχνει προς τα αριστερά: μεσαίος τόνος δέρματος
👈🏾	δείκτης backhand δείχνει προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος
👈🏿	ευρετήριο backhand προς τα αριστερά: σκούρος τόνος δέρματος
👉	backhand ευρετήριο που δείχνει δεξιά
👉🏻	δείκτης οπισθοπορείας προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος
👉🏼	δείκτης backhand δείχνει προς τα δεξιά: μεσαίος-ανοιχτός τόνος δέρματος
👉🏽	Δείκτης backhand δείχνει προς τα δεξιά: μεσαίος τόνος δέρματος
