😀	የሚስቅ ፊት
🚵‍♂️	ሰው ተራራ ቢስክሌት
🚵‍♂	ሰው ተራራ ቢስክሌት
🚵🏻‍♂️	ሰው ተራራ ቢስክሌት: ቀላል የቆዳ ቀለም
🚵🏻‍♂	ሰው ተራራ ቢስክሌት: ቀላል የቆዳ ቀለም
🚵🏼‍♂️	ሰው ተራራ ቢስክሌት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🚵🏼‍♂	ሰው ተራራ ቢስክሌት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🚵🏽‍♂️	ሰው ተራራ ቢስክሌት: መሃከለኛ የቆዳ ቀለም
🚵🏽‍♂	ሰው ተራራ ቢስክሌት: መሃከለኛ የቆዳ ቀለም
🚵🏾‍♂️	ሰው ተራራ ቢስክሌት: መሃከለኛ-ጥቁር የቆዳ ቀለም
🚵🏾‍♂	ሰው ተራራ ቢስክሌት: መሃከለኛ-ጥቁር የቆዳ ቀለም
🚵🏿‍♂️	ሰው ተራራ ቢስክሌት: ጥቁር የቆዳ ቀለም
🚵🏿‍♂	ሰው ተራራ ቢስክሌት: ጥቁር የቆዳ ቀለም
🚵‍♀️	ሴት ተራራ ብስክሌት
🚵‍♀	ሴት ተራራ ብስክሌት
🚵🏻‍♀️	ሴት ተራራ ቢስክሌት: ቀላል የቆዳ ቀለም
🚵🏻‍♀	ሴት ተራራ ቢስክሌት መንዳት፡ ቀላል የቆዳ ቀለም
🚵🏼‍♀️	ሴት ተራራ ቢስክሌት መንዳት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🚵🏼‍♀	ሴት ተራራ ቢስክሌት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🚵🏽‍♀️	ሴት ተራራ ቢስክሌት: መሃከለኛ የቆዳ ቀለም
🚵🏽‍♀	ሴት ተራራ ቢስክሌት: መሃከለኛ የቆዳ ቀለም
🚵🏾‍♀️	ሴት ተራራ ቢስክሌት መንዳት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🚵🏾‍♀	ሴት ተራራ ቢስክሌት መንዳት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🚵🏿‍♀️	ሴት ተራራ ብስክሌት: ጥቁር የቆዳ ቀለም
🚵🏿‍♀	ሴት ተራራ ብስክሌት: ጥቁር የቆዳ ቀለም
🏎️	የእሽቅድምድም መኪና
🏎	የእሽቅድምድም መኪና
🏍️	ሞተርሳይክል
🏍	ሞተርሳይክል
🤸	ሰው cartwheeling
🤸🏻	ሰው cartwheeling: ቀላል የቆዳ ቀለም
🤸🏼	ሰው cartwheeling: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏽	ሰው cartwheeling: መሃከለኛ የቆዳ ቀለም
🤸🏾	ሰው cartwheeling: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏿	ሰው cartwheeling: ጥቁር የቆዳ ቀለም
🤸‍♂️	ሰው cartwheeling
🤸‍♂	ሰው cartwheeling
🤸🏻‍♂️	ሰው cartwheeling: ቀላል የቆዳ ቀለም
🤸🏻‍♂	ሰው cartwheeling: ቀላል የቆዳ ቀለም
🤸🏼‍♂️	ሰው ካርትዊሊንግ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏼‍♂	ሰው ካርትዊሊንግ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏽‍♂️	ሰው cartwheeling: መሃከለኛ የቆዳ ቀለም
🤸🏽‍♂	ሰው cartwheeling: መሃከለኛ የቆዳ ቀለም
🤸🏾‍♂️	ሰው ካርትዊሊንግ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏾‍♂	ሰው ካርትዊሊንግ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏿‍♂️	ሰው cartwheeling: ጥቁር የቆዳ ቀለም
🤸🏿‍♂	ሰው cartwheeling: ጥቁር የቆዳ ቀለም
🤸‍♀️	ሴት cartwheeling
🤸‍♀	ሴት cartwheeling
🤸🏻‍♀️	ሴት cartwheeling: ቀላል የቆዳ ቀለም
🤸🏻‍♀	ሴት cartwheeling: ቀላል የቆዳ ቀለም
🤸🏼‍♀️	ሴት cartwheeling: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏼‍♀	ሴት cartwheeling: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏽‍♀️	ሴት cartwheeling: መሃከለኛ የቆዳ ቀለም
🤸🏽‍♀	ሴት cartwheeling: መሃከለኛ የቆዳ ቀለም
🤸🏾‍♀️	ሴት cartwheeling: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏾‍♀	ሴት cartwheeling: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤸🏿‍♀️	ሴት cartwheeling: ጥቁር የቆዳ ቀለም
🤸🏿‍♀	ሴት cartwheeling: ጥቁር የቆዳ ቀለም
🤼	ሰዎች ትግል
🤼‍♂️	ወንዶች ትግል
🤼‍♂	ወንዶች ትግል
🤼‍♀️	የሴቶች ትግል
🤼‍♀	የሴቶች ትግል
🤽	የውሃ ፖሎ የሚጫወት ሰው
🤽🏻	የውሃ ፖሎ የሚጫወት ሰው፡ ቀላል የቆዳ ቀለም
🤽🏼	የውሃ ፖሎ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏽	የውሃ ፖሎ የሚጫወት ሰው፡ መሃከለኛ የቆዳ ቀለም
🤽🏾	የውሃ ፖሎ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏿	የውሃ ፖሎ የሚጫወት ሰው፡ ጥቁር የቆዳ ቀለም
🤽‍♂️	የውሃ ፖሎ የሚጫወት ሰው
🤽‍♂	የውሃ ፖሎ የሚጫወት ሰው
🤽🏻‍♂️	የውሃ ፖሎ የሚጫወት ሰው፡ ቀላል የቆዳ ቀለም
🤽🏻‍♂	የውሃ ፖሎ የሚጫወት ሰው፡ ቀላል የቆዳ ቀለም
🤽🏼‍♂️	የውሃ ፖሎ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏼‍♂	የውሃ ፖሎ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏽‍♂️	የውሃ ፖሎ የሚጫወት ሰው: መሃከለኛ የቆዳ ቀለም
🤽🏽‍♂	የውሃ ፖሎ የሚጫወት ሰው: መሃከለኛ የቆዳ ቀለም
🤽🏾‍♂️	የውሃ ፖሎ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏾‍♂	የውሃ ፖሎ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏿‍♂️	የውሃ ፖሎ የሚጫወት ሰው: ጥቁር የቆዳ ቀለም
🤽🏿‍♂	የውሃ ፖሎ የሚጫወት ሰው: ጥቁር የቆዳ ቀለም
🤽‍♀️	የውሃ ፖሎ የምትጫወት ሴት
🤽‍♀	የውሃ ፖሎ የምትጫወት ሴት
🤽🏻‍♀️	የውሃ ፖሎ የምትጫወት ሴት፡ ቀላል የቆዳ ቀለም
🤽🏻‍♀	የውሃ ፖሎ የምትጫወት ሴት፡ ቀላል የቆዳ ቀለም
🤽🏼‍♀️	የውሃ ፖሎ የምትጫወት ሴት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏼‍♀	የውሃ ፖሎ የምትጫወት ሴት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏽‍♀️	የውሃ ፖሎ የምትጫወት ሴት: መሃከለኛ የቆዳ ቀለም
🤽🏽‍♀	የውሃ ፖሎ የምትጫወት ሴት: መሃከለኛ የቆዳ ቀለም
🤽🏾‍♀️	የውሃ ፖሎ የምትጫወት ሴት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏾‍♀	የውሃ ፖሎ የምትጫወት ሴት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤽🏿‍♀️	የውሃ ፖሎ የምትጫወት ሴት: ጥቁር የቆዳ ቀለም
🤽🏿‍♀	የውሃ ፖሎ የምትጫወት ሴት: ጥቁር የቆዳ ቀለም
🤾	የእጅ ኳስ የሚጫወት ሰው
🤾🏻	የእጅ ኳስ የሚጫወት ሰው፡ ቀላል የቆዳ ቀለም
🤾🏼	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏽	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ የቆዳ ቀለም
🤾🏾	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏿	የእጅ ኳስ የሚጫወት ሰው: ጥቁር የቆዳ ቀለም
🤾‍♂️	ሰው የእጅ ኳስ መጫወት
🤾‍♂	ሰው የእጅ ኳስ መጫወት
🤾🏻‍♂️	የእጅ ኳስ የሚጫወት ሰው፡ ቀላል የቆዳ ቀለም
🤾🏻‍♂	የእጅ ኳስ የሚጫወት ሰው፡ ቀላል የቆዳ ቀለም
🤾🏼‍♂️	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏼‍♂	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏽‍♂️	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ የቆዳ ቀለም
🤾🏽‍♂	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ የቆዳ ቀለም
🤾🏾‍♂️	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏾‍♂	የእጅ ኳስ የሚጫወት ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏿‍♂️	የእጅ ኳስ የሚጫወት ሰው: ጥቁር የቆዳ ቀለም
🤾🏿‍♂	የእጅ ኳስ የሚጫወት ሰው: ጥቁር የቆዳ ቀለም
🤾‍♀️	ሴት የእጅ ኳስ ስትጫወት
🤾‍♀	ሴት የእጅ ኳስ ስትጫወት
🤾🏻‍♀️	ሴት የእጅ ኳስ ስትጫወት፡ ቀላል የቆዳ ቀለም
🤾🏻‍♀	ሴት የእጅ ኳስ ስትጫወት፡ ቀላል የቆዳ ቀለም
🤾🏼‍♀️	ሴት የእጅ ኳስ ስትጫወት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏼‍♀	ሴት የእጅ ኳስ ስትጫወት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏽‍♀️	የእጅ ኳስ የምትጫወት ሴት: መሃከለኛ የቆዳ ቀለም
🤾🏽‍♀	የእጅ ኳስ የምትጫወት ሴት: መሃከለኛ የቆዳ ቀለም
🤾🏾‍♀️	ሴት የእጅ ኳስ ስትጫወት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏾‍♀	ሴት የእጅ ኳስ ስትጫወት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤾🏿‍♀️	ሴት የእጅ ኳስ ስትጫወት: ጥቁር የቆዳ ቀለም
🤾🏿‍♀	ሴት የእጅ ኳስ ስትጫወት: ጥቁር የቆዳ ቀለም
🤹	ሰው እየሮጠ
🤹🏻	ሰው እየሮጠ፡ ቀላል የቆዳ ቀለም
🤹🏼	ጀግንግ ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏽	ሰው እየሮጠ፡ መሃከለኛ የቆዳ ቀለም
🤹🏾	ጀግንግ ሰው፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏿	እየሮጠ ያለ ሰው፡ ጥቁር የቆዳ ቀለም
🤹‍♂️	ሰው ጀግንግ
🤹‍♂	ሰው ጀግንግ
🤹🏻‍♂️	ሰው ጀግሊንግ፡ ቀላል የቆዳ ቀለም
🤹🏻‍♂	ሰው ጀግሊንግ፡ ቀላል የቆዳ ቀለም
🤹🏼‍♂️	ሰው ጀግሊንግ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏼‍♂	ሰው ጀግሊንግ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏽‍♂️	ሰው ጀግሊንግ: መሃከለኛ የቆዳ ቀለም
🤹🏽‍♂	ሰው ጀግሊንግ: መሃከለኛ የቆዳ ቀለም
🤹🏾‍♂️	ሰው ጀግሊንግ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏾‍♂	ሰው ጀግሊንግ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏿‍♂️	ሰው ጀግንግ: ጥቁር የቆዳ ቀለም
🤹🏿‍♂	ሰው ጀግንግ: ጥቁር የቆዳ ቀለም
🤹‍♀️	ሴት እየሮጠች
🤹‍♀	ሴት እየሮጠች
🤹🏻‍♀️	ሴት ጀግንግ፡ ቀላል የቆዳ ቀለም
🤹🏻‍♀	ሴት ጀግንግ፡ ቀላል የቆዳ ቀለም
🤹🏼‍♀️	ሴት ጀግንግ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏼‍♀	ሴት ጀግንግ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏽‍♀️	ሴት ጀግንግ: መሃከለኛ የቆዳ ቀለም
🤹🏽‍♀	ሴት ጀግንግ: መሃከለኛ የቆዳ ቀለም
🤹🏾‍♀️	ሴት ጀግንግ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏾‍♀	ሴት ጀግንግ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤹🏿‍♀️	ሴት ጀግንግ: ጥቁር የቆዳ ቀለም
🤹🏿‍♀	ሴት ጀግንግ: ጥቁር የቆዳ ቀለም
👫	ወንድና ሴት እጅ ለእጅ ተያይዘዋል።
👬	ሁለት ሰዎች እጅ ለእጅ ተያይዘዋል።
👭	ሁለት ሴቶች እጅ ለእጅ ተያይዘዋል።
💏	መሳም
👩‍❤️‍💋‍👨	መሳም: ሴት, ወንድ
👩‍❤‍💋‍👨	መሳም: ሴት, ወንድ
👨‍❤️‍💋‍👨	መሳም: ሰው, ሰው
👨‍❤‍💋‍👨	መሳም: ሰው, ሰው
👩‍❤️‍💋‍👩	መሳም: ሴት, ሴት
👩‍❤‍💋‍👩	መሳም: ሴት, ሴት
💑	ልብ ያላቸው ባልና ሚስት
👩‍❤️‍👨	ልብ ያላቸው ባልና ሚስት: ሴት, ወንድ
👩‍❤‍👨	ልብ ያላቸው ባልና ሚስት: ሴት, ወንድ
👨‍❤️‍👨	ልብ ያላቸው ባልና ሚስት: ሰው, ሰው
👨‍❤‍👨	ልብ ያላቸው ባልና ሚስት: ሰው, ሰው
👩‍❤️‍👩	ልብ ያላቸው ባልና ሚስት: ሴት, ሴት
👩‍❤‍👩	ልብ ያላቸው ባልና ሚስት: ሴት, ሴት
👪	ቤተሰብ
👨‍👩‍👦	ቤተሰብ: ወንድ, ሴት, ወንድ ልጅ
👨‍👩‍👧	ቤተሰብ: ወንድ, ሴት, ሴት ልጅ
👨‍👩‍👧‍👦	ቤተሰብ: ወንድ, ሴት, ሴት ልጅ, ወንድ ልጅ
👨‍👩‍👦‍👦	ቤተሰብ: ወንድ, ሴት, ወንድ ልጅ, ወንድ ልጅ
👨‍👩‍👧‍👧	ቤተሰብ: ወንድ, ሴት, ሴት ልጅ, ሴት ልጅ
👨‍👨‍👦	ቤተሰብ: ሰው, ወንድ, ወንድ ልጅ
👨‍👨‍👧	ቤተሰብ: ወንድ, ወንድ, ሴት ልጅ
👨‍👨‍👧‍👦	ቤተሰብ: ወንድ, ወንድ, ሴት ልጅ, ወንድ ልጅ
👨‍👨‍👦‍👦	ቤተሰብ: ሰው, ወንድ, ወንድ ልጅ, ወንድ ልጅ
👨‍👨‍👧‍👧	ቤተሰብ: ወንድ, ወንድ, ሴት ልጅ, ሴት ልጅ
👩‍👩‍👦	ቤተሰብ: ሴት, ሴት, ወንድ ልጅ
👩‍👩‍👧	ቤተሰብ: ሴት, ሴት, ሴት ልጅ
👩‍👩‍👧‍👦	ቤተሰብ: ሴት, ሴት, ሴት ልጅ, ወንድ ልጅ
👩‍👩‍👦‍👦	ቤተሰብ: ሴት, ሴት, ወንድ ልጅ, ወንድ ልጅ
👩‍👩‍👧‍👧	ቤተሰብ: ሴት, ሴት, ሴት ልጅ, ሴት ልጅ
👨‍👦	ቤተሰብ: ወንድ, ወንድ ልጅ
👨‍👦‍👦	ቤተሰብ: ወንድ, ወንድ ልጅ, ወንድ ልጅ
👨‍👧	ቤተሰብ: ወንድ, ሴት ልጅ
👨‍👧‍👦	ቤተሰብ: ወንድ, ሴት ልጅ, ወንድ ልጅ
👨‍👧‍👧	ቤተሰብ: ወንድ, ሴት ልጅ, ሴት ልጅ
👩‍👦	ቤተሰብ: ሴት, ወንድ ልጅ
👩‍👦‍👦	ቤተሰብ: ሴት, ወንድ ልጅ, ወንድ ልጅ
👩‍👧	ቤተሰብ: ሴት, ሴት ልጅ
👩‍👧‍👦	ቤተሰብ: ሴት, ሴት ልጅ, ወንድ ልጅ
👩‍👧‍👧	ቤተሰብ: ሴት, ሴት ልጅ, ሴት ልጅ
🤳	የራስ ፎቶ
🤳🏻	የራስ ፎቶ፡ ቀላል የቆዳ ቀለም
🤳🏼	የራስ ፎቶ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤳🏽	የራስ ፎቶ፡ መሃከለኛ የቆዳ ቀለም
🤳🏾	የራስ ፎቶ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤳🏿	የራስ ፎቶ፡ ጥቁር የቆዳ ቀለም
💪	ተጣጣፊ ቢሴፕስ
💪🏻	ተጣጣፊ ቢሴፕስ፡ ቀላል የቆዳ ቀለም
💪🏼	ተጣጣፊ ቢሴፕስ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
💪🏽	ተጣጣፊ ቢሴፕስ፡ መሃከለኛ የቆዳ ቀለም
💪🏾	ተጣጣፊ ቢሴፕስ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
💪🏿	የተጣጣመ ቢስፕስ: ጥቁር የቆዳ ቀለም
🦵	እግር
🦵🏻	እግር: ቀላል የቆዳ ቀለም
🦵🏼	እግር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🦵🏽	እግር: መሃከለኛ የቆዳ ቀለም
🦵🏾	እግር: መሃከለኛ-ጥቁር የቆዳ ቀለም
🦵🏿	እግር: ጥቁር የቆዳ ቀለም
🦶	እግር
🦶🏻	እግር: ቀላል የቆዳ ቀለም
🦶🏼	እግር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🦶🏽	እግር: መሃከለኛ የቆዳ ቀለም
🦶🏾	እግር: መሃከለኛ-ጥቁር የቆዳ ቀለም
🦶🏿	እግር: ጥቁር የቆዳ ቀለም
👈	ወደ ግራ የሚያመለክተው የኋላ እጅ መረጃ ጠቋሚ
👈🏻	ወደ ግራ የሚያመለክተው የኋላ እጅ መረጃ ጠቋሚ፡ ቀላል የቆዳ ቀለም
👈🏼	ወደ ግራ የሚያመለክተው የኋላ እጅ መረጃ ጠቋሚ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👈🏽	ወደ ግራ የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ፡ መሃከለኛ የቆዳ ቀለም
👈🏾	ወደ ግራ የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👈🏿	የኋላ እጅ መረጃ ጠቋሚ ወደ ግራ የሚያመለክት፡ ጥቁር የቆዳ ቀለም
👉	ወደ ቀኝ የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ
👉🏻	የኋላ እጅ መረጃ ጠቋሚ ወደ ቀኝ የሚያመለክት፡ ቀላል የቆዳ ቀለም
👉🏼	የኋላ እጅ መረጃ ጠቋሚ ወደ ቀኝ የሚያመለክት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👉🏽	የኋላ እጅ መረጃ ጠቋሚ ወደ ቀኝ የሚያመለክት፡ መሃከለኛ የቆዳ ቀለም
👉🏾	የኋላ እጅ መረጃ ጠቋሚ ወደ ቀኝ የሚያመለክት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👉🏿	የኋላ እጅ መረጃ ጠቋሚ ወደ ቀኝ የሚያመለክት፡ ጥቁር የቆዳ ቀለም
☝️	ጠቋሚ ወደ ላይ እየጠቆመ
☝	ጠቋሚ ወደ ላይ እየጠቆመ
☝🏻	ጠቋሚ ወደላይ እየጠቆመ፡ ቀላል የቆዳ ቀለም
☝🏼	ጠቋሚ ወደ ላይ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
☝🏽	ጠቋሚ ወደ ላይ: መሃከለኛ የቆዳ ቀለም
☝🏾	ጠቋሚ ወደ ላይ: መሃከለኛ-ጥቁር የቆዳ ቀለም
☝🏿	ጠቋሚ ወደ ላይ: ጥቁር የቆዳ ቀለም
👆	የኋላ እጅ መረጃ ጠቋሚ ወደ ላይ ያሳያል
👆🏻	የኋላ እጅ መረጃ ጠቋሚ ወደ ላይ እየጠቆመ፡ ቀላል የቆዳ ቀለም
👆🏼	የኋላ እጅ መረጃ ጠቋሚ ወደ ላይ እየጠቆመ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👆🏽	የኋላ እጅ መረጃ ጠቋሚ ወደ ላይ እየጠቆመ፡ መሃከለኛ የቆዳ ቀለም
👆🏾	የኋላ እጅ መረጃ ጠቋሚ ወደ ላይ እየጠቆመ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👆🏿	የኋላ እጅ መረጃ ጠቋሚ ወደ ላይ እየጠቆመ፡ ጥቁር የቆዳ ቀለም
🖕	መካከለኛ ጣት
🖕🏻	የመሃል ጣት: ቀላል የቆዳ ቀለም
🖕🏼	የመሃል ጣት፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🖕🏽	መካከለኛ ጣት: መሃከለኛ የቆዳ ቀለም
🖕🏾	የመሃል ጣት: መሃከለኛ-ጥቁር የቆዳ ቀለም
🖕🏿	የመሃል ጣት: ጥቁር የቆዳ ቀለም
👇	ወደ ታች የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ
👇🏻	ወደ ታች የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ፡ ቀላል የቆዳ ቀለም
👇🏼	ወደ ታች የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👇🏽	ወደ ታች የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ፡ መሃከለኛ የቆዳ ቀለም
👇🏾	ወደ ታች የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👇🏿	ወደ ታች የሚያመለክት የኋላ እጅ መረጃ ጠቋሚ፡ ጥቁር የቆዳ ቀለም
✌️	የድል እጅ
✌	የድል እጅ
✌🏻	የድል እጅ: ቀላል የቆዳ ቀለም
✌🏼	የድል እጅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
✌🏽	የድል እጅ: መሃከለኛ የቆዳ ቀለም
✌🏾	የድል እጅ: መሃከለኛ-ጥቁር የቆዳ ቀለም
✌🏿	የድል እጅ: ጥቁር የቆዳ ቀለም
🤞	የተሻገሩ ጣቶች
🤞🏻	የተሻገሩ ጣቶች: ቀላል የቆዳ ቀለም
🤞🏼	የተሻገሩ ጣቶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤞🏽	የተሻገሩ ጣቶች: መሃከለኛ የቆዳ ቀለም
🤞🏾	የተሻገሩ ጣቶች: መሃከለኛ-ጥቁር የቆዳ ቀለም
🤞🏿	የተሻገሩ ጣቶች: ጥቁር የቆዳ ቀለም
🖖	vulcan ሰላምታ
🖖🏻	vulcan ሰላምታ፡ ቀላል የቆዳ ቀለም
🖖🏼	የቮልካን ሰላምታ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🖖🏽	vulcan ሰላምታ፡ መሃከለኛ የቆዳ ቀለም
🖖🏾	የቮልካን ሰላምታ፡ መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🖖🏿	vulcan ሰላምታ: ጥቁር የቆዳ ቀለም
🤘	የቀንዶች ምልክት
🤘🏻	የቀንዶች ምልክት: ቀላል የቆዳ ቀለም
🤘🏼	የቀንዶች ምልክት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤘🏽	የቀንዶች ምልክት: መሃከለኛ የቆዳ ቀለም
