😀	ухилено лице
☝🏼	индексът сочи нагоре: средно светъл тен на кожата
☝🏽	индексът сочи нагоре: среден тен на кожата
☝🏾	индексът сочи нагоре: средно тъмен цвят на кожата
☝🏿	индексът сочи нагоре: тъмна кожа
👆	показалецът на гърба сочи нагоре
👆🏻	показалецът на гърба сочи нагоре: светъл тен на кожата
👆🏼	показалецът на гърба сочи нагоре: средно светъл тен на кожата
👆🏽	показалецът на гърба сочи нагоре: среден тен на кожата
👆🏾	показалецът на гърба сочи нагоре: средно тъмен цвят на кожата
👆🏿	показалецът на гърба сочи нагоре: тъмна кожа
🖕	среден пръст
🖕🏻	среден пръст: светла кожа
🖕🏼	среден пръст: средно светъл тен на кожата
🖕🏽	среден пръст: среден цвят на кожата
🖕🏾	среден пръст: средно тъмен цвят на кожата
🖕🏿	среден пръст: тъмна кожа
👇	показалецът на гърба сочи надолу
👇🏻	показалецът на гърба сочи надолу: светъл тен на кожата
👇🏼	показалецът на гърба сочи надолу: средно светъл тен на кожата
👇🏽	показалецът на гърба сочи надолу: среден тен на кожата
👇🏾	показалецът на гърба сочи надолу: средно тъмен цвят на кожата
👇🏿	показалецът на гърба сочи надолу: тъмна кожа
✌️	победна ръка
✌	победна ръка
✌🏻	победна ръка: светъл тен на кожата
✌🏼	победна ръка: средно светъл тен на кожата
✌🏽	победна ръка: среден цвят на кожата
✌🏾	победна ръка: средно тъмен цвят на кожата
✌🏿	победна ръка: тъмен цвят на кожата
🤞	скръстени пръсти
🤞🏻	скръстени пръсти: светла кожа
🤞🏼	скръстени пръсти: средно светъл тен на кожата
🤞🏽	скръстени пръсти: среден цвят на кожата
🤞🏾	скръстени пръсти: средно тъмен цвят на кожата
🤞🏿	скръстени пръсти: тъмна кожа
🖖	вулкански поздрав
🖖🏻	вулкански поздрав: светъл тен на кожата
🖖🏼	вулкански поздрав: средно светъл тен на кожата
🖖🏽	вулкански поздрав: среден тен на кожата
🖖🏾	вулкански поздрав: средно тъмен цвят на кожата
🖖🏿	вулкански поздрав: тъмна кожа
🤘	знак на рогата
🤘🏻	знак на рогата: светъл тен на кожата
🤘🏼	знак на рогата: средно светъл тен на кожата
🤘🏽	знак на рогата: среден тен на кожата
🤘🏾	знак на рогата: средно тъмен цвят на кожата
🤘🏿	знак на рогата: тъмна кожа
🤙	повикай ми ръка
🤙🏻	обади ми ръка: светла кожа
🤙🏼	обади ми ръка: средно светъл тен на кожата
🤙🏽	обади ми ръка: среден цвят на кожата
🤙🏾	обади ми ръка: средно тъмен цвят на кожата
🤙🏿	обади ми ръка: тъмна кожа
🖐️	ръка с разперени пръсти
